X,Y,Z,R,G,B
11.7469,-1.6881,41.5493,255.0000,0.0000,0.0000
11.8326,-1.6891,41.5717,255.0000,0.0000,0.0000
11.8877,-1.6856,41.4870,255.0000,0.0000,0.0000
11.9436,-1.6823,41.4059,255.0000,0.0000,0.0000
11.9862,-1.6772,41.2806,255.0000,0.0000,0.0000
12.0015,-1.6684,41.0633,255.0000,0.0000,0.0000
12.1420,-1.6770,41.2743,255.0000,0.0000,0.0000
11.9606,-1.6413,40.3954,255.0000,0.0000,0.0000
8.9335,-1.7919,42.1239,255.0000,0.0000,0.0000
8.9946,-1.7881,42.0334,255.0000,0.0000,0.0000
9.0731,-1.7877,42.0256,255.0000,0.0000,0.0000
9.1446,-1.7860,41.9853,255.0000,0.0000,0.0000
9.2236,-1.7858,41.9799,255.0000,0.0000,0.0000
9.3042,-1.7859,41.9822,255.0000,0.0000,0.0000
9.3804,-1.7851,41.9645,255.0000,0.0000,0.0000
9.4555,-1.7842,41.9420,255.0000,0.0000,0.0000
9.5284,-1.7828,41.9105,255.0000,0.0000,0.0000
9.6014,-1.7815,41.8796,255.0000,0.0000,0.0000
9.6765,-1.7806,41.8589,255.0000,0.0000,0.0000
9.7556,-1.7805,41.8552,255.0000,0.0000,0.0000
9.8371,-1.7808,41.8620,255.0000,0.0000,0.0000
9.9213,-1.7815,41.8799,255.0000,0.0000,0.0000
10.0084,-1.7828,41.9098,255.0000,0.0000,0.0000
10.1027,-1.7853,41.9692,255.0000,0.0000,0.0000
10.2024,-1.7888,42.0497,255.0000,0.0000,0.0000
10.3071,-1.7930,42.1498,255.0000,0.0000,0.0000
10.4167,-1.7980,42.2680,255.0000,0.0000,0.0000
10.5136,-1.8008,42.3330,255.0000,0.0000,0.0000
10.6012,-1.8020,42.3601,255.0000,0.0000,0.0000
10.6820,-1.8019,42.3596,255.0000,0.0000,0.0000
10.7584,-1.8012,42.3422,255.0000,0.0000,0.0000
10.8281,-1.7993,42.2986,255.0000,0.0000,0.0000
10.8978,-1.7975,42.2557,255.0000,0.0000,0.0000
10.9668,-1.7956,42.2107,255.0000,0.0000,0.0000
11.0344,-1.7935,42.1611,255.0000,0.0000,0.0000
11.1009,-1.7912,42.1078,255.0000,0.0000,0.0000
11.1679,-1.7891,42.0577,255.0000,0.0000,0.0000
11.2353,-1.7870,42.0095,255.0000,0.0000,0.0000
11.3028,-1.7850,41.9621,255.0000,0.0000,0.0000
11.3697,-1.7830,41.9135,255.0000,0.0000,0.0000
11.4334,-1.7804,41.8536,255.0000,0.0000,0.0000
11.4944,-1.7775,41.7848,255.0000,0.0000,0.0000
11.5532,-1.7743,41.7092,255.0000,0.0000,0.0000
11.6154,-1.7716,41.6467,255.0000,0.0000,0.0000
11.6774,-1.7690,41.5844,255.0000,0.0000,0.0000
11.7456,-1.7673,41.5447,255.0000,0.0000,0.0000
11.8265,-1.7675,41.5501,255.0000,0.0000,0.0000
11.8826,-1.7641,41.4690,255.0000,0.0000,0.0000
11.9401,-1.7609,41.3941,255.0000,0.0000,0.0000
11.9847,-1.7558,41.2753,255.0000,0.0000,0.0000
12.0014,-1.7468,41.0628,255.0000,0.0000,0.0000
12.1440,-1.7561,41.2811,255.0000,0.0000,0.0000
11.9885,-1.7224,40.4896,255.0000,0.0000,0.0000
8.9328,-1.8722,42.1207,255.0000,0.0000,0.0000
8.9979,-1.8690,42.0489,255.0000,0.0000,0.0000
9.0729,-1.8679,42.0245,255.0000,0.0000,0.0000
9.1453,-1.8663,41.9883,255.0000,0.0000,0.0000
9.2239,-1.8660,41.9814,255.0000,0.0000,0.0000
9.3027,-1.8657,41.9752,255.0000,0.0000,0.0000
9.3753,-1.8642,41.9413,255.0000,0.0000,0.0000
9.4499,-1.8632,41.9174,255.0000,0.0000,0.0000
9.5233,-1.8619,41.8879,255.0000,0.0000,0.0000
9.5967,-1.8606,41.8593,255.0000,0.0000,0.0000
9.6717,-1.8596,41.8382,255.0000,0.0000,0.0000
9.7514,-1.8596,41.8370,255.0000,0.0000,0.0000
9.8329,-1.8599,41.8441,255.0000,0.0000,0.0000
9.9170,-1.8607,41.8620,255.0000,0.0000,0.0000
10.0044,-1.8621,41.8931,255.0000,0.0000,0.0000
10.0984,-1.8647,41.9515,255.0000,0.0000,0.0000
